                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.63618,                0.31659,                0.86034,                0.99517,                0.99484,                0.99407,                0.89732,                0.62459,                0.26519,                0.83448,              0.0077957,              0.0077957,              0.0077957
                     59,                0.64125,                0.31529,                0.86538,                0.99725,                0.99792,                0.99483,                0.90373,                0.58921,                0.25001,                0.82918,               0.007757,               0.007757,               0.007757
                     60,                0.63785,                  0.316,                0.86385,                0.99793,                0.99775,                0.99495,                0.89659,                0.60423,                0.26201,                0.83253,              0.0077184,              0.0077184,              0.0077184
                     61,                0.63606,                0.31492,                0.86301,                0.99665,                0.99737,                0.99495,                0.89626,                0.60682,                0.25703,                 0.8329,              0.0076797,              0.0076797,              0.0076797
                     62,                0.63206,                0.31286,                0.86288,                0.99705,                0.99779,                0.99474,                0.89276,                0.62559,                0.25703,                0.83597,               0.007641,               0.007641,               0.007641
                     63,                0.63066,                0.31166,                0.86291,                0.99225,                0.99621,                0.99468,                0.90011,                0.60142,                0.25589,                0.83103,              0.0076023,              0.0076023,              0.0076023
                     64,                0.62835,                0.31267,                0.86094,                0.99698,                0.99608,                0.99455,                0.89929,                0.60886,                0.26196,                0.82851,              0.0075637,              0.0075637,              0.0075637
                     65,                0.62916,                0.30874,                0.86211,                0.99721,                0.99651,                0.99454,                0.89077,                0.66279,                0.26835,                0.83828,               0.007525,               0.007525,               0.007525
                     66,                0.62911,                0.31081,                0.86131,                0.99409,                0.99816,                0.99464,                0.89949,                0.61727,                0.26292,                0.83103,              0.0074863,              0.0074863,              0.0074863
                     67,                0.62662,                0.31025,                0.86505,                0.99726,                0.99799,                0.99496,                0.90101,                0.60868,                0.25419,                0.83293,              0.0074477,              0.0074477,              0.0074477
                     68,                0.62357,                0.30898,                0.86158,                0.99886,                0.99689,                 0.9948,                0.89967,                0.60296,                0.25076,                0.82958,               0.007409,               0.007409,               0.007409
                     69,                0.62712,                0.30484,                0.86199,                0.99853,                0.99827,                0.99495,                0.90009,                0.60555,                0.24553,                0.82949,              0.0073703,              0.0073703,              0.0073703
                     70,                0.61808,                0.30273,                0.86133,                0.99626,                0.99659,                0.99442,                0.89541,                0.62189,                0.25483,                0.83095,              0.0073316,              0.0073316,              0.0073316
                     71,                  0.621,                0.30394,                0.85953,                0.99786,                0.99734,                0.99487,                0.90904,                0.57005,                0.23998,                0.82625,               0.007293,               0.007293,               0.007293
                     72,                0.62041,                0.30418,                0.85969,                0.99519,                0.99675,                0.99438,                0.89868,                0.59766,                 0.2459,                0.83148,              0.0072543,              0.0072543,              0.0072543
