                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.66095,                0.33286,                 0.8615,                0.99022,                 0.9937,                0.99384,                0.88016,                 0.6549,                0.28133,                0.83803,              0.0080664,              0.0080664,              0.0080664
                     52,                0.65556,                0.33092,                0.86307,                0.99495,                0.99633,                0.99468,                0.89509,                0.62259,                 0.2667,                0.83448,              0.0080277,              0.0080277,              0.0080277
                     53,                0.65456,                0.32979,                0.86118,                0.99644,                  0.997,                 0.9949,                0.90144,                0.59838,                0.25988,                 0.8292,              0.0079891,              0.0079891,              0.0079891
                     54,                 0.6558,                   0.33,                0.86339,                0.99795,                0.99721,                0.99489,                0.89678,                0.61159,                 0.2617,                0.83459,              0.0079504,              0.0079504,              0.0079504
                     55,                0.65916,                0.33289,                0.86253,                0.99664,                0.99638,                0.99488,                0.90253,                0.58575,                0.25793,                0.82866,              0.0079117,              0.0079117,              0.0079117
                     56,                0.65235,                0.32999,                0.86202,                 0.9967,                0.99755,                0.99484,                0.89677,                0.61349,                0.25818,                0.83249,               0.007873,               0.007873,               0.007873
                     57,                0.65247,                0.32791,                0.86203,                0.99704,                0.99668,                0.99487,                0.88999,                0.63958,                0.26336,                0.83659,              0.0078344,              0.0078344,              0.0078344
                     58,                0.64613,                0.32914,                0.85911,                0.99782,                0.99769,                0.99495,                0.90631,                0.58182,                0.25306,                0.82785,              0.0077957,              0.0077957,              0.0077957
                     59,                0.65093,                0.32663,                0.86288,                0.99486,                0.99804,                0.99404,                0.90874,                0.56954,                0.25116,                0.82622,               0.007757,               0.007757,               0.007757
                     60,                0.65016,                0.32622,                0.86115,                0.99691,                0.99524,                0.99493,                0.89542,                0.61736,                 0.2665,                0.83397,              0.0077184,              0.0077184,              0.0077184
                     61,                 0.6488,                0.32715,                0.85984,                0.99735,                0.99882,                0.99486,                0.90609,                0.57085,                0.24842,                0.82685,              0.0076797,              0.0076797,              0.0076797
                     62,                0.64404,                0.32408,                0.86044,                0.98934,                0.99311,                0.99392,                0.88832,                0.65516,                0.28291,                0.83937,               0.007641,               0.007641,               0.007641
                     63,                0.63964,                0.32159,                0.85992,                0.99774,                0.99698,                0.99494,                0.89466,                0.63557,                0.26173,                0.83562,              0.0076023,              0.0076023,              0.0076023
                     64,                0.64047,                0.32246,                0.85686,                0.99694,                  0.997,                0.99435,                 0.8961,                0.60654,                0.25782,                0.83045,              0.0075637,              0.0075637,              0.0075637
                     65,                0.63795,                0.31946,                0.85834,                0.99482,                0.99458,                0.99413,                0.89277,                0.63532,                0.27054,                0.83483,               0.007525,               0.007525,               0.007525
                     66,                0.64023,                 0.3207,                0.85839,                0.99726,                0.99725,                0.99459,                0.89601,                0.61144,                0.25861,                0.83271,              0.0074863,              0.0074863,              0.0074863
                     67,                0.63707,                0.32137,                0.86187,                0.99629,                0.99506,                0.99377,                0.89985,                0.58352,                0.25403,                0.82846,              0.0074477,              0.0074477,              0.0074477
                     68,                0.63226,                0.32062,                0.85762,                 0.9966,                0.99769,                0.99494,                0.90088,                0.60258,                0.24972,                0.82944,               0.007409,               0.007409,               0.007409
                     69,                0.63656,                 0.3183,                0.85908,                 0.9972,                0.99695,                0.99484,                0.89232,                0.62845,                0.25687,                0.83348,              0.0073703,              0.0073703,              0.0073703
                     70,                0.63048,                0.31511,                0.85801,                0.99587,                0.99655,                0.99496,                0.88874,                0.65243,                0.26273,                0.83915,              0.0073316,              0.0073316,              0.0073316
                     71,                0.63362,                0.31515,                0.85674,                0.99556,                0.99794,                0.99464,                0.89088,                0.64104,                0.26014,                0.83574,               0.007293,               0.007293,               0.007293
                     72,                 0.6319,                0.31578,                0.85744,                0.99705,                 0.9972,                0.99475,                0.90017,                0.58669,                0.24648,                0.82912,              0.0072543,              0.0072543,              0.0072543
                     73,                0.62805,                0.31401,                0.85752,                0.99773,                 0.9972,                0.99468,                0.89545,                0.61054,                0.25208,                0.82959,              0.0072156,              0.0072156,              0.0072156
                     74,                0.62769,                0.31573,                0.85758,                0.99617,                0.99661,                0.99491,                0.90423,                0.58095,                0.24795,                0.82748,               0.007177,               0.007177,               0.007177
                     75,                0.62628,                0.31326,                0.85645,                 0.9972,                0.99728,                0.99475,                0.90369,                0.60497,                 0.2493,                0.83148,              0.0071383,              0.0071383,              0.0071383
                     76,                0.62457,                0.31339,                0.85678,                0.99761,                 0.9969,                0.99495,                0.90373,                 0.6009,                0.24748,                0.83135,              0.0070996,              0.0070996,              0.0070996
                     77,                 0.6229,                0.31436,                0.85598,                0.99735,                0.99776,                0.99486,                0.90676,                0.57298,                0.24305,                0.82681,              0.0070609,              0.0070609,              0.0070609
                     78,                0.62292,                0.31123,                0.85558,                 0.9978,                0.99638,                0.99472,                0.90789,                0.58974,                0.24467,                0.82749,              0.0070223,              0.0070223,              0.0070223
                     79,                0.62406,                0.31148,                0.85696,                0.99745,                0.99698,                0.99468,                0.90434,                0.58624,                0.24265,                0.82665,              0.0069836,              0.0069836,              0.0069836
                     80,                0.62124,                0.31084,                0.85603,                0.99583,                0.99728,                0.99476,                 0.9048,                0.58357,                 0.2438,                0.82781,              0.0069449,              0.0069449,              0.0069449
                     81,                0.61927,                0.30705,                0.85505,                0.99744,                0.99792,                0.99496,                0.90578,                0.59418,                0.24266,                0.82786,              0.0069063,              0.0069063,              0.0069063
                     82,                0.61659,                0.30513,                0.85625,                0.99699,                  0.998,                0.99489,                0.91239,                0.56861,                0.23581,                0.82563,              0.0068676,              0.0068676,              0.0068676
                     83,                0.62186,                0.30773,                0.85573,                 0.9977,                0.99833,                0.99481,                0.90642,                0.58416,                0.23965,                0.82685,              0.0068289,              0.0068289,              0.0068289
                     84,                0.61291,                0.30406,                0.85551,                0.99877,                0.99832,                0.99489,                0.91192,                0.56133,                0.23594,                0.82334,              0.0067902,              0.0067902,              0.0067902
