                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.63074,                0.31179,                0.86292,                 0.9976,                0.99757,                0.99482,                0.89621,                0.61989,                0.25659,                 0.8329,              0.0078344,              0.0078344,              0.0078344
                     58,                0.62793,                0.31168,                0.85962,                0.99641,                0.99762,                 0.9949,                0.90148,                0.59648,                0.24794,                0.83137,              0.0077957,              0.0077957,              0.0077957
                     59,                0.63215,                0.31018,                 0.8637,                0.99675,                 0.9978,                0.99477,                0.91307,                0.56877,                0.24399,                0.82517,               0.007757,               0.007757,               0.007757
                     60,                0.62572,                0.30896,                0.86094,                0.99652,                0.99784,                0.99491,                0.90317,                0.57896,                0.24447,                0.82899,              0.0077184,              0.0077184,              0.0077184
                     61,                0.62562,                0.30758,                 0.8607,                0.99317,                0.99397,                0.99478,                0.89667,                 0.6215,                0.26948,                0.83514,              0.0076797,              0.0076797,              0.0076797
                     62,                0.62089,                0.30674,                0.86096,                0.99542,                 0.9957,                0.99453,                0.89978,                0.60999,                0.25048,                0.83231,               0.007641,               0.007641,               0.007641
                     63,                0.61957,                0.30444,                0.85994,                0.99712,                0.99703,                0.99472,                0.89791,                0.61513,                0.24939,                0.83154,              0.0076023,              0.0076023,              0.0076023
                     64,                0.61899,                0.30645,                  0.858,                0.99772,                 0.9967,                0.99438,                0.90811,                0.56171,                0.23941,                0.82453,              0.0075637,              0.0075637,              0.0075637
                     65,                0.61695,                0.30182,                0.85941,                0.99616,                0.99595,                0.99466,                0.89987,                0.61764,                0.25215,                0.83211,               0.007525,               0.007525,               0.007525
                     66,                0.61911,                0.30378,                0.85975,                0.99786,                0.99703,                0.99465,                0.90481,                0.57912,                0.24412,                0.82757,              0.0074863,              0.0074863,              0.0074863
                     67,                0.61844,                0.30654,                0.86321,                0.99694,                0.99939,                0.99499,                0.89767,                0.60212,                 0.2462,                0.83029,              0.0074477,              0.0074477,              0.0074477
                     68,                0.61083,                0.30315,                0.86003,                0.99822,                0.99678,                0.99492,                 0.8981,                 0.5929,                0.24964,                0.82851,               0.007409,               0.007409,               0.007409
                     69,                0.61152,                0.30056,                0.85952,                0.99825,                0.99798,                0.99489,                0.90556,                0.59573,                0.24466,                0.82825,              0.0073703,              0.0073703,              0.0073703
                     70,                0.61028,                0.29938,                0.85948,                0.99539,                0.99684,                0.99478,                0.88736,                0.62297,                0.25033,                  0.832,              0.0073316,              0.0073316,              0.0073316
                     71,                0.61065,                0.30049,                0.85733,                0.99358,                0.99627,                0.99303,                0.90266,                0.57622,                0.24509,                0.82535,               0.007293,               0.007293,               0.007293
                     72,                0.61053,                0.30013,                0.85893,                0.99759,                0.99699,                0.99472,                0.90499,                  0.572,                0.24388,                0.82667,              0.0072543,              0.0072543,              0.0072543
                     73,                0.60854,                0.29998,                0.85864,                0.99755,                0.99824,                0.99491,                 0.9066,                0.58317,                0.24628,                0.82645,              0.0072156,              0.0072156,              0.0072156
                     74,                0.60839,                0.29861,                0.85914,                0.99749,                0.99762,                0.99481,                0.90388,                0.58544,                0.24411,                0.82771,               0.007177,               0.007177,               0.007177
                     75,                0.60153,                0.29459,                0.85722,                0.99694,                0.99679,                0.99481,                0.90178,                0.59455,                0.24556,                0.82874,              0.0071383,              0.0071383,              0.0071383
                     76,                0.60348,                0.29584,                0.85752,                 0.9977,                0.99842,                0.99495,                0.90908,                0.57234,                0.23389,                0.82724,              0.0070996,              0.0070996,              0.0070996
                     77,                 0.6013,                0.29551,                0.85603,                0.99704,                0.99838,                0.99483,                0.90794,                0.58067,                 0.2379,                0.82609,              0.0070609,              0.0070609,              0.0070609
                     78,                0.60078,                0.29386,                0.85617,                0.99862,                0.99733,                0.99479,                0.90621,                0.58554,                0.23895,                 0.8266,              0.0070223,              0.0070223,              0.0070223
                     79,                0.60137,                0.29306,                0.85789,                0.99806,                0.99737,                0.99442,                0.90617,                0.58109,                0.23933,                0.82605,              0.0069836,              0.0069836,              0.0069836
                     80,                0.59723,                0.29032,                0.85514,                0.99646,                0.99586,                 0.9949,                0.89666,                0.59693,                0.24164,                0.83019,              0.0069449,              0.0069449,              0.0069449
                     81,                0.59742,                0.29207,                0.85483,                0.99644,                0.99741,                0.99471,                0.90538,                0.58799,                0.24229,                  0.828,              0.0069063,              0.0069063,              0.0069063
                     82,                0.59598,                0.29002,                0.85589,                0.99729,                0.99856,                0.99487,                0.90902,                0.56839,                0.23163,                0.82425,              0.0068676,              0.0068676,              0.0068676
                     83,                0.59827,                0.29174,                0.85651,                 0.9982,                  0.998,                0.99464,                 0.9137,                0.55825,                0.23315,                0.82195,              0.0068289,              0.0068289,              0.0068289
                     84,                 0.5912,                0.28975,                0.85697,                 0.9982,                0.99818,                0.99485,                0.90646,                0.57643,                0.23476,                0.82681,              0.0067902,              0.0067902,              0.0067902
                     85,                0.59484,                0.28959,                  0.855,                0.99709,                0.99827,                0.99492,                0.91197,                0.56668,                0.23078,                0.82521,              0.0067516,              0.0067516,              0.0067516
                     86,                0.58815,                0.29028,                0.85547,                0.99883,                0.99811,                0.99487,                0.91249,                0.55119,                0.22974,                0.82313,              0.0067129,              0.0067129,              0.0067129
                     87,                0.59141,                0.28871,                0.85691,                0.99782,                0.99738,                0.99477,                0.91388,                0.55436,                 0.2333,                0.82123,              0.0066742,              0.0066742,              0.0066742
                     88,                 0.5875,                0.28651,                0.85586,                0.99836,                0.99814,                0.99479,                0.90549,                0.58642,                0.23948,                0.82484,              0.0066355,              0.0066355,              0.0066355
                     89,                0.59227,                0.28902,                0.85659,                0.99713,                0.99823,                0.99464,                0.90952,                0.56333,                0.23032,                0.82376,              0.0065969,              0.0065969,              0.0065969
