                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.68459,                0.35147,                0.86418,                0.99672,                0.99661,                0.99487,                0.89976,                 0.6124,                0.27635,                0.83337,              0.0079117,              0.0079117,              0.0079117
                     56,                0.67878,                0.34795,                0.86359,                0.99296,                0.99529,                0.99443,                 0.8865,                0.63357,                0.28505,                0.83673,               0.007873,               0.007873,               0.007873
                     57,                0.67875,                0.34728,                0.86478,                0.99579,                0.99745,                0.99469,                0.88984,                0.63245,                0.27312,                0.83617,              0.0078344,              0.0078344,              0.0078344
                     58,                0.67238,                0.34552,                0.86167,                0.99316,                0.99392,                0.99474,                0.90114,                0.61027,                0.27983,                0.83469,              0.0077957,              0.0077957,              0.0077957
                     59,                0.67449,                0.34484,                0.86412,                 0.9953,                0.99671,                0.99493,                0.89771,                0.61157,                0.27264,                0.83273,               0.007757,               0.007757,               0.007757
                     60,                 0.6764,                0.34555,                0.86373,                0.99417,                0.99662,                0.99465,                0.89354,                0.61624,                0.27454,                0.83475,              0.0077184,              0.0077184,              0.0077184
                     61,                0.66941,                0.34502,                0.86223,                0.99592,                0.99704,                0.99491,                0.89059,                0.63406,                 0.2752,                0.83685,              0.0076797,              0.0076797,              0.0076797
                     62,                0.66989,                0.34536,                0.86294,                0.99715,                0.99667,                0.99475,                0.89966,                0.61728,                0.26973,                0.83336,               0.007641,               0.007641,               0.007641
                     63,                0.66677,                0.33937,                0.86188,                0.99761,                0.99513,                 0.9949,                0.89273,                0.64333,                0.27598,                0.83811,              0.0076023,              0.0076023,              0.0076023
                     64,                0.66486,                0.33909,                0.85898,                0.99715,                0.99596,                 0.9947,                0.89362,                0.61804,                0.27046,                0.83356,              0.0075637,              0.0075637,              0.0075637
                     65,                0.66308,                0.33872,                0.86124,                0.99525,                0.99608,                0.99487,                0.90119,                0.60744,                0.26693,                0.83108,               0.007525,               0.007525,               0.007525
                     66,                0.65961,                0.33534,                0.85966,                0.99772,                0.99724,                0.99478,                0.89997,                0.59528,                0.26406,                 0.8308,              0.0074863,              0.0074863,              0.0074863
                     67,                0.66004,                0.34051,                0.86362,                0.99179,                0.99692,                0.99431,                0.89578,                0.62409,                0.27084,                0.83442,              0.0074477,              0.0074477,              0.0074477
                     68,                0.65938,                0.33908,                 0.8602,                0.99773,                0.99537,                0.99486,                0.89103,                0.61994,                0.26839,                0.83475,               0.007409,               0.007409,               0.007409
                     69,                0.66005,                  0.335,                0.86137,                0.99823,                0.99768,                 0.9948,                0.89629,                0.62104,                0.26443,                0.83325,              0.0073703,              0.0073703,              0.0073703
                     70,                0.65772,                0.33396,                 0.8606,                0.99671,                0.99532,                0.99442,                0.88896,                0.63406,                0.27173,                0.83427,              0.0073316,              0.0073316,              0.0073316
                     71,                0.66104,                0.33718,                0.85995,                0.99452,                0.99473,                0.99417,                0.89571,                0.59673,                0.26634,                0.82958,               0.007293,               0.007293,               0.007293
                     72,                0.65639,                0.33205,                0.85964,                0.99512,                0.99465,                0.99407,                0.89567,                0.61235,                0.26978,                0.83356,              0.0072543,              0.0072543,              0.0072543
                     73,                0.65054,                0.33356,                0.85968,                0.99614,                0.99731,                0.99485,                0.90178,                0.58316,                0.25811,                0.82641,              0.0072156,              0.0072156,              0.0072156
                     74,                0.65622,                  0.333,                0.86007,                0.99729,                0.99722,                0.99472,                0.89651,                0.61413,                0.26092,                0.83254,               0.007177,               0.007177,               0.007177
                     75,                0.64881,                0.33004,                0.85866,                0.99551,                0.99779,                0.99451,                0.89888,                0.62166,                0.26656,                0.83252,              0.0071383,              0.0071383,              0.0071383
                     76,                0.64949,                 0.3323,                0.85864,                0.99622,                0.99532,                0.99468,                0.90062,                0.60105,                0.26596,                0.83116,              0.0070996,              0.0070996,              0.0070996
                     77,                0.64735,                0.33171,                0.85862,                0.99531,                0.99669,                0.99446,                0.89653,                0.61386,                0.26358,                0.83189,              0.0070609,              0.0070609,              0.0070609
                     78,                0.64901,                0.33026,                0.85782,                0.99526,                0.99504,                0.99489,                0.89756,                0.61466,                0.26469,                0.83373,              0.0070223,              0.0070223,              0.0070223
                     79,                0.64486,                0.32884,                0.85864,                0.99605,                0.99714,                0.99468,                0.89201,                0.62054,                0.26703,                0.83396,              0.0069836,              0.0069836,              0.0069836
                     80,                0.64458,                0.32922,                0.85801,                0.99526,                0.99533,                 0.9945,                0.90117,                0.60127,                0.26358,                0.82952,              0.0069449,              0.0069449,              0.0069449
                     81,                0.64303,                0.32877,                0.85752,                0.99731,                 0.9971,                0.99458,                0.90197,                0.60322,                 0.2566,                0.83008,              0.0069063,              0.0069063,              0.0069063
                     82,                0.64028,                0.32467,                0.85782,                0.99789,                0.99772,                0.99487,                0.90847,                0.58143,                0.24942,                 0.8277,              0.0068676,              0.0068676,              0.0068676
                     83,                 0.6423,                0.32516,                 0.8571,                0.99813,                0.99742,                0.99479,                0.90584,                0.59421,                0.25378,                 0.8293,              0.0068289,              0.0068289,              0.0068289
                     84,                 0.6368,                 0.3234,                  0.858,                0.99763,                0.99553,                0.99448,                0.89936,                0.59077,                0.25171,                0.82949,              0.0067902,              0.0067902,              0.0067902
                     85,                0.64201,                0.32541,                0.85652,                0.99775,                0.99853,                0.99497,                0.91041,                 0.5667,                0.24635,                0.82598,              0.0067516,              0.0067516,              0.0067516
                     86,                0.63777,                0.32449,                0.85659,                0.99764,                0.99811,                0.99483,                0.91034,                0.57418,                0.25081,                0.82525,              0.0067129,              0.0067129,              0.0067129
                     87,                0.63979,                0.32284,                0.85829,                  0.997,                0.99736,                0.99479,                0.91064,                0.56237,                0.24707,                0.82545,              0.0066742,              0.0066742,              0.0066742
                     88,                0.63602,                0.32112,                0.85642,                0.99593,                0.99716,                0.99427,                0.89976,                 0.6137,                0.26032,                0.83119,              0.0066355,              0.0066355,              0.0066355
                     89,                0.63838,                0.32099,                0.85771,                0.99835,                 0.9982,                0.99494,                0.90613,                0.58467,                0.24878,                0.82647,              0.0065969,              0.0065969,              0.0065969
                     90,                0.63538,                 0.3254,                0.85739,                0.99699,                 0.9986,                0.99493,                0.90477,                0.59559,                0.25288,                0.82864,              0.0065582,              0.0065582,              0.0065582
                     91,                0.63496,                0.32285,                  0.856,                0.99814,                0.99827,                0.99487,                0.90523,                0.59811,                0.25116,                 0.8295,              0.0065195,              0.0065195,              0.0065195
                     92,                0.63555,                0.31955,                0.85715,                0.99759,                0.99802,                0.99498,                0.91509,                0.55612,                0.24193,                0.82253,              0.0064809,              0.0064809,              0.0064809
                     93,                0.63003,                0.31898,                0.85517,                0.99828,                0.99747,                0.99482,                 0.9045,                0.60248,                0.25151,                0.82908,              0.0064422,              0.0064422,              0.0064422
                     94,                0.63023,                0.31702,                0.85663,                0.99849,                0.99725,                0.99484,                0.90708,                0.58045,                0.24525,                0.82647,              0.0064035,              0.0064035,              0.0064035
                     95,                0.63168,                0.31811,                0.85537,                0.99795,                0.99825,                0.99472,                 0.9092,                0.56299,                0.23991,                0.82431,              0.0063648,              0.0063648,              0.0063648
                     96,                0.63344,                0.31826,                0.85642,                0.99666,                0.99797,                0.99462,                0.90927,                0.57797,                0.24666,                0.82611,              0.0063262,              0.0063262,              0.0063262
                     97,                0.63004,                0.31932,                0.85728,                0.99882,                0.99862,                0.99499,                0.90539,                0.59609,                0.24547,                0.82876,              0.0062875,              0.0062875,              0.0062875
                     98,                 0.6294,                0.31658,                0.85591,                  0.998,                 0.9974,                0.99481,                0.90773,                0.57477,                0.24563,                0.82596,              0.0062488,              0.0062488,              0.0062488
                     99,                0.62899,                0.31586,                0.85592,                0.99809,                 0.9968,                0.99495,                0.90661,                0.57998,                0.24861,                0.82624,              0.0062102,              0.0062102,              0.0062102
                    100,                0.62638,                0.31552,                0.85582,                0.99829,                0.99875,                 0.9949,                0.90902,                0.58033,                0.24214,                 0.8263,              0.0061715,              0.0061715,              0.0061715
                    101,                0.62781,                0.31429,                0.85721,                0.99809,                0.99793,                0.99484,                0.90771,                0.59395,                0.24877,                0.82763,              0.0061328,              0.0061328,              0.0061328
                    102,                0.62109,                0.31319,                 0.8547,                0.99743,                0.99754,                0.99483,                0.90861,                0.57547,                0.24397,                0.82619,              0.0060941,              0.0060941,              0.0060941
                    103,                0.62205,                0.31082,                0.85582,                0.99575,                0.99779,                0.99451,                0.91131,                0.56916,                0.24239,                0.82421,              0.0060555,              0.0060555,              0.0060555
                    104,                0.62114,                0.31119,                0.85537,                 0.9982,                0.99799,                 0.9949,                 0.9093,                0.56731,                0.23938,                0.82541,              0.0060168,              0.0060168,              0.0060168
                    105,                 0.6231,                0.31405,                0.85426,                0.99681,                0.99752,                0.99421,                0.90311,                0.59891,                0.24537,                0.82854,              0.0059781,              0.0059781,              0.0059781
                    106,                0.61764,                0.31082,                0.85423,                0.99882,                0.99868,                0.99488,                0.90836,                0.58392,                0.24315,                0.82652,              0.0059395,              0.0059395,              0.0059395
                    107,                0.61908,                0.31377,                0.85465,                0.99817,                0.99762,                0.99474,                0.90992,                0.57682,                0.24283,                0.82567,              0.0059008,              0.0059008,              0.0059008
                    108,                0.61819,                 0.3121,                0.85371,                0.99829,                0.99832,                 0.9948,                0.91062,                0.56022,                0.23721,                 0.8234,              0.0058621,              0.0058621,              0.0058621
                    109,                0.61832,                0.31079,                 0.8541,                0.99731,                0.99631,                0.99478,                0.90737,                0.58337,                0.24522,                0.82535,              0.0058234,              0.0058234,              0.0058234
                    110,                0.61394,                0.30775,                0.85441,                0.99768,                0.99803,                0.99486,                0.90993,                0.56628,                0.23519,                0.82461,              0.0057848,              0.0057848,              0.0057848
                    111,                0.61935,                0.31006,                0.85594,                 0.9984,                0.99794,                0.99492,                0.91115,                0.56903,                0.23554,                0.82401,              0.0057461,              0.0057461,              0.0057461
                    112,                0.61732,                 0.3092,                0.85361,                0.99781,                0.99778,                0.99483,                0.91224,                0.56619,                0.23499,                0.82444,              0.0057074,              0.0057074,              0.0057074
                    113,                0.61666,                0.30949,                0.85429,                0.99859,                0.99877,                0.99488,                0.91436,                0.55046,                0.23237,                0.82206,              0.0056688,              0.0056688,              0.0056688
                    114,                 0.6163,                0.30731,                0.85382,                0.99906,                0.99857,                0.99489,                 0.9139,                0.56454,                0.23372,                0.82295,              0.0056301,              0.0056301,              0.0056301
                    115,                0.61483,                 0.3067,                0.85323,                0.99833,                0.99814,                0.99484,                0.90923,                0.57574,                0.23843,                0.82458,              0.0055914,              0.0055914,              0.0055914
                    116,                0.60924,                0.30497,                0.85377,                0.99771,                0.99802,                0.99482,                0.91316,                0.55781,                0.23459,                0.82438,              0.0055527,              0.0055527,              0.0055527
                    117,                0.60569,                0.30654,                0.85338,                0.99855,                0.99791,                0.99458,                0.90918,                0.56758,                 0.2345,                  0.824,              0.0055141,              0.0055141,              0.0055141
                    118,                 0.6062,                0.30506,                0.85338,                0.99821,                0.99867,                0.99486,                0.91329,                 0.5625,                0.23039,                0.82276,              0.0054754,              0.0054754,              0.0054754
                    119,                 0.6093,                0.30554,                0.85307,                  0.998,                0.99839,                0.99481,                0.91004,                0.57342,                0.23442,                0.82506,              0.0054367,              0.0054367,              0.0054367
                    120,                0.60689,                0.30236,                0.85306,                0.99667,                0.99789,                0.99451,                0.91434,                 0.5576,                0.23142,                0.82308,               0.005398,               0.005398,               0.005398
                    121,                0.61055,                0.30443,                0.85301,                0.99864,                0.99788,                0.99485,                 0.9094,                0.58141,                0.23581,                 0.8253,              0.0053594,              0.0053594,              0.0053594
                    122,                0.60606,                0.30452,                0.85353,                0.99809,                0.99874,                0.99488,                0.90944,                0.57081,                0.23296,                0.82393,              0.0053207,              0.0053207,              0.0053207
                    123,                  0.609,                0.30504,                0.85167,                0.99823,                0.99851,                0.99487,                0.90819,                0.58138,                0.23601,                0.82579,               0.005282,               0.005282,               0.005282
                    124,                0.60648,                0.30334,                0.85032,                0.99845,                0.99839,                0.99491,                0.91397,                0.56412,                0.23339,                 0.8231,              0.0052434,              0.0052434,              0.0052434
                    125,                0.60932,                0.30416,                0.85357,                0.99827,                0.99833,                0.99491,                0.90956,                0.57199,                0.23482,                0.82409,              0.0052047,              0.0052047,              0.0052047
                    126,                0.60067,                0.30224,                0.85092,                0.99789,                0.99836,                0.99489,                0.91475,                0.55717,                0.23153,                0.82209,               0.005166,               0.005166,               0.005166
                    127,                0.60148,                0.30101,                0.85136,                0.99836,                0.99857,                0.99485,                0.91028,                0.56617,                0.23373,                0.82372,              0.0051273,              0.0051273,              0.0051273
                    128,                0.60552,                 0.3016,                 0.8536,                0.99912,                0.99839,                0.99495,                0.91421,                0.55942,                0.23101,                0.82208,              0.0050887,              0.0050887,              0.0050887
